,date,code,country,aqi,status
0,2016-06-27 10:00:00,OMN,Oman,-,unavailable
1,2016-08-09 07:00:00,IRL,Ireland,-,unavailable
2,2020-05-15 23:00:00,UKR,Ukraine,9,good
3,2020-08-03 16:00:00,,Bolivia,-,unavailable
4,2020-08-26 12:00:00,,Rusia,42,good
5,2020-11-22 10:00:00,GBR,United Kingdom,25,good
6,2021-08-15 18:00:00,AFG,Afghanistan,193,unhealty
7,2022-05-01 16:00:00,CHN,China,37,good
8,2022-07-11 18:00:00,SAU,Saudi Arabia,514,hazardous
9,2022-10-24 10:00:00,HUN,Hungary,-,unavailable
10,2022-12-05 09:00:00,PRI,Puerto Rico,-,unavailable
11,2023-03-22 16:00:00,BEL,Belgium,24,good
12,2023-04-13 17:00:00,GHA,Ghana,55,moderate
13,2023-05-10 07:00:00,MNE,Montenegro,43,good
14,2023-05-20 23:00:00,ITA,Italy,34,good
15,2023-06-08 23:00:00,IRQ,Iraq,124,unhealty for sensitive groups
16,2023-06-26 12:00:00,,Iran,94,moderate
17,2023-06-27 07:00:00,ZAF,South Africa,165,unhealty
18,2023-06-29 09:00:00,CHL,Chile,50,good
19,2023-06-29 13:00:00,AZE,Azerbaijan,76,moderate
20,2023-06-29 18:00:00,BHR,Bahrain,82,moderate
21,2023-06-30 02:00:00,KGZ,Kyrgyzstan,57,moderate
22,2023-06-30 16:00:00,AND,Andorra,25,good
23,2023-07-01 09:00:00,,Brunei,10,good
24,2023-07-01 22:00:00,,Macedonia,36,good
25,2023-07-02 19:00:00,CRI,Costa Rica,5,good
26,2023-07-02 19:00:00,CAN,Canada,14,good
27,2023-07-02 20:00:00,ARG,Argentina,55,moderate
28,2023-07-02 21:00:00,MEX,Mexico,102,unhealty for sensitive groups
29,2023-07-02 21:00:00,ECU,Ecuador,75,moderate
30,2023-07-02 21:00:00,GTM,Guatemala,22,good
31,2023-07-02 21:00:00,PAN,Panama,56,moderate
32,2023-07-02 22:00:00,USA,United States,29,good
33,2023-07-02 22:00:00,LBN,Lebanon,33,good
34,2023-07-02 22:00:00,SLV,El Salvador,158,unhealty
35,2023-07-02 23:00:00,COL,Colombia,56,moderate
36,2023-07-02 23:00:00,PER,Peru,7,good
37,2023-07-02 23:00:00,ALB,Albania,24,good
38,2023-07-03 01:00:00,BRA,Brazil,12,good
39,2023-07-03 02:00:00,FRA,France,12,good
40,2023-07-03 03:00:00,PRT,Portugal,24,good
41,2023-07-03 04:00:00,ESP,Spain,20,good
42,2023-07-03 04:00:00,DZA,Algeria,21,good
43,2023-07-03 04:00:00,HRV,Croatia,32,good
44,2023-07-03 04:00:00,LUX,Luxembourg,46,good
45,2023-07-03 04:00:00,ISL,Iceland,6,good
46,2023-07-03 04:00:00,DNK,Denmark,29,good
47,2023-07-03 05:00:00,,Czech Republic,52,moderate
48,2023-07-03 05:00:00,AUT,Austria,46,good
49,2023-07-03 05:00:00,SRB,Serbia,57,moderate
50,2023-07-03 05:00:00,CRI,Costa Rica,5,good
51,2023-07-03 05:00:00,,Kosovo,26,good
52,2023-07-03 05:00:00,SVK,Slovakia,13,good
53,2023-07-03 05:00:00,NLD,Netherlands,44,good
54,2023-07-03 05:00:00,SWE,Sweden,3,good
55,2023-07-03 05:00:00,BGR,Bulgaria,22,good
56,2023-07-03 05:00:00,KEN,Kenya,44,good
57,2023-07-03 06:00:00,SVN,Slovenia,42,good
58,2023-07-03 06:00:00,DEU,Germany,21,good
59,2023-07-03 06:00:00,BIH,Bosnia and Herzegovina,16,good
60,2023-07-03 06:00:00,LTU,Lithuania,28,good
61,2023-07-03 06:00:00,NOR,Norway,4,good
62,2023-07-03 06:00:00,GIB,Gibraltar,47,good
63,2023-07-03 06:00:00,POL,Poland,50,good
64,2023-07-03 06:00:00,MLT,Malta,61,moderate
65,2023-07-03 06:00:00,ISR,Israel,64,moderate
66,2023-07-03 07:00:00,TUR,Turkey,30,good
67,2023-07-03 07:00:00,JOR,Jordan,20,good
68,2023-07-03 07:00:00,CYP,Cyprus,63,moderate
69,2023-07-03 07:00:00,FIN,Finland,27,good
70,2023-07-03 07:00:00,EST,Estonia,30,good
71,2023-07-03 07:00:00,GEO,Georgia,46,good
72,2023-07-03 07:00:00,GRC,Greece,78,moderate
73,2023-07-03 07:00:00,ROU,Romania,16,good
74,2023-07-03 07:00:00,CHE,Switzerland,16,good
75,2023-07-03 07:00:00,KWT,Kuwait,119,unhealty for sensitive groups
76,2023-07-03 08:00:00,PAK,Pakistan,132,unhealty for sensitive groups
77,2023-07-03 08:00:00,LKA,Sri Lanka,38,good
78,2023-07-03 09:00:00,CAN,Canada,11,good
79,2023-07-03 09:00:00,BGD,Bangladesh,112,unhealty for sensitive groups
80,2023-07-03 09:00:00,IND,India,83,moderate
81,2023-07-03 09:00:00,KAZ,Kazakhstan,30,good
82,2023-07-03 10:00:00,GTM,Guatemala,25,good
83,2023-07-03 10:00:00,LBN,Lebanon,30,good
84,2023-07-03 10:00:00,,Laos,21,good
85,2023-07-03 10:00:00,MMR,Myanmar,46,good
86,2023-07-03 10:00:00,MEX,Mexico,78,moderate
87,2023-07-03 11:00:00,LBN,Lebanon,30,good
88,2023-07-03 11:00:00,THA,Thailand,34,good
89,2023-07-03 11:00:00,ECU,Ecuador,88,moderate
90,2023-07-03 11:00:00,SLV,El Salvador,122,unhealty for sensitive groups
91,2023-07-03 11:00:00,IDN,Indonesia,152,unhealty
92,2023-07-03 11:00:00,ARG,Argentina,89,moderate
93,2023-07-03 11:00:00,MEX,Mexico,85,moderate
94,2023-07-03 11:00:00,MYS,Malaysia,60,moderate
95,2023-07-03 11:00:00,PAN,Panama,34,good
96,2023-07-03 11:00:00,,Vietnam,25,good
97,2023-07-03 11:00:00,ALB,Albania,28,good
